Name,Car,Gender
Haruto Nakamura,Nissan Skyline GT-R,Male
Yuki Tanaka,Toyota Supra,Male
Kaito Sato,Honda NSX,Male
Sora Suzuki,Subaru Impreza WRX STI,Male
Riku Takahashi,Mazda RX-7,Male
Natsuki Watanabe,Mitsubishi Lancer Evolution,Female
Daiki Ito,Lexus LFA,Male
Hikaru Yamamoto,Toyota AE86,Female
Tsubasa Kato,Nissan 370Z,Male
Akira Kobayashi,Honda S2000,Male
Yuto Sasaki,Subaru BRZ,Male
Kenji Yamada,Mitsubishi Eclipse,Male
Hiroto Kimura,Toyota Chaser,Male
Masaki Yoshida,Nissan Silvia S15,Male
Takumi Matsui,Mazda MX-5 Miata,Male
Ryu Hayashi,Honda Civic Type R,Male
Kazuki Shimizu,Toyota Celica,Male
Yuma Saito,Nissan 350Z,Male
Shota Aoki,Suzuki Swift Sport,Male
Keita Inoue,Acura NSX (Honda NSX),Male
Takeru Fujimoto,Toyota MR2,Male
Ryo Nakagawa,Lexus IS F,Male
Jun Matsumoto,Nissan Fairlady Z,Male
Shinji Hashimoto,Honda Prelude,Male
Kyohei Murakami,Mitsubishi 3000GT,Male
Taiga Kitamura,Subaru Legacy GT,Male
Yudai Yamazaki,Toyota Altezza (Lexus IS),Male
Kenta Mori,Mazda 3 MPS,Male
Riku Sakamoto,Nissan Pulsar GTI-R,Male
Shunji Ando,Honda Accord Type R,Male
Koki Kondo,Toyota GT86,Male
Yuji Fukuda,Lexus RC F,Male
Ryohei Miura,Mitsubishi Starion,Male
Shinya Takagi,Nissan Juke Nismo,Male
Makoto Fujii,Toyota Soarer,Male
Haru Nakajima,Suzuki Cappuccino,Female
Masahiro Goto,Honda Integra Type R,Male
Kohei Okada,Toyota Yaris GR,Male
Tatsuya Ishikawa,Mazda RX-8,Male
Yukihiro Hasegawa,Subaru SVX,Male
Ren Yamashita,Mitsubishi Galant VR-4,Male
Yuuya Nakano,Toyota Crown,Male
Daisuke Maeda,Nissan Stagea,Male
Shohei Shimizu,Honda Fit RS,Male
Hideo Fujita,Daihatsu Copen,Male
Takashi Suga,Lexus LS,Male
Yoshihiro Horikawa,Nissan Cube,Male
Manabu Mochizuki,Toyota Prius (Modified for Racing),Male
Kaito Arai,Infiniti G35 (Nissan Skyline),Male
Naoki Ogawa,Mazda6 MPS,Male
Shota Tamura,Suzuki Ignis Sport,Male
Hikaru Kinoshita,Honda CR-Z,Female
Kyo Matsuda,Nissan Note Nismo,Male
Keisuke Nishimura,Toyota Corolla Levin,Male
Taichi Hara,Subaru Forester STI,Male
Rei Shibata,Lexus GS F,Female
Yuta Takeda,Mitsubishi Mirage Ralliart,Male
Shinya Kaneko,Nissan Leaf Nismo,Male
Kazuma Kudo,Toyota Sprinter Trueno,Male
Sho Taniguchi,Daihatsu Charade GTti,Male
Ryoichi Sakai,Toyota 2000GT,Male
Takuya Wada,Honda Jazz (Fit) RS,Male
Ken Nakashima,Nissan X-Trail GT,Male
Masato Ohashi,Lexus CT Hybrid F Sport,Male
Hiroshi Komatsu,Toyota Land Cruiser Prado,Male
Shuichi Kagawa,Honda HR-V,Male
Satoshi Fujimura,Suzuki SX4 S-Cross,Male
Toshiki Nakamura,Mitsubishi Outlander PHEV,Male
Koji Tanaka,Toyota Highlander,Male
Shin Sato,Nissan Qashqai,Male
Yuki Suzuki,Subaru Outback,Female
Tatsuya Takahashi,Mazda CX-5,Male
Yuji Watanabe,Honda CR-V,Male
Hideaki Ito,Lexus UX,Male
Ryo Yamamoto,Mitsubishi Pajero,Male
Kenta Kato,Toyota RAV4,Male
Soichiro Kobayashi,Nissan Rogue,Male
Naoya Sasaki,Subaru Crosstrek,Male
Ryosuke Yamada,Honda Pilot,Male
Yusuke Kimura,Mazda CX-9,Male
Junichi Yoshida,Lexus RX,Male
Hiroki Matsui,Toyota Highlander Hybrid,Male
Takuro Hayashi,Mitsubishi Eclipse Cross,Male
Shogo Shimizu,Nissan Pathfinder,Male
Kyohei Saito,Subaru Ascent,Male
Dai Aoki,Toyota Venza,Male
Yosuke Inoue,Lexus NX,Male
Kota Fujimoto,Honda Passport,Male
Kei Nakagawa,Mazda CX-30,Male
Tomoya Matsumoto,Subaru Forester,Male
Nobuyuki Hashimoto,Toyota 4Runner,Male
Ryuji Murakami,Nissan Murano,Male
Shota Kitamura,Lexus GX,Male
Haruki Yamazaki,Honda HR-V,Male
Yuichi Mori,Mazda CX-3,Male
Takahiro Sakamoto,Toyota C-HR,Male
Tomoki Ando,Nissan Juke,Male
Kazuya Kondo,Subaru XV,Male
Keiji Fukuda,Lexus LX,Male
Tsubasa Miura,Infiniti QX50,Male
Seiji Takagi,Honda Element,Male
Ayumu Fujii,Mitsubishi Montero,Male
Takayuki Nakajima,Toyota Sequoia,Male
Kenta Goto,Nissan Armada,Male
Toshiya Okada,Lexus ES,Male
Daigo Ishikawa,Infiniti Q50,Male
Naoto Hasegawa,Honda Accord,Male
Satoshi Yamashita,Toyota Camry,Male
Yuki Nakano,Lexus IS,Female
Kotaro Maeda,Infiniti Q60,Male
Masaharu Shimizu,Nissan Maxima,Male
Koji Fujita,Honda Civic,Male
Hirofumi Suga,Subaru Impreza,Male
Takahisa Horikawa,Mazda3,Male
Nobuaki Mochizuki,Toyota Avalon,Male
Yusuke Arai,Lexus CT,Male
Kazunari Ogawa,Mitsubishi Lancer,Male
Shintaro Tamura,Suzuki Baleno,Male
